date,temperature,humidity,luminosity
2019-12-04 16:36:22.372,22.6,26.8,343
2019-12-04 16:36:22.372,22.5,26.8,340
2019-12-04 16:36:22.372,22.5,26.7,340
2019-12-04 16:36:22.376,22.6,26.8,337
2019-12-04 16:36:22.376,22.5,26.7,346
2019-12-04 16:36:22.377,22.6,26.7,340
2019-12-04 16:36:22.377,22.5,26.7,343
2019-12-04 16:36:22.377,22.5,26.6,343
2019-12-04 16:36:22.377,22.5,26.6,346
2019-12-04 16:36:22.378,22.6,26.6,340
2019-12-04 16:36:22.378,22.5,26.6,343
2019-12-04 16:36:22.378,22.5,26.5,340
2019-12-04 16:36:22.378,22.5,26.4,343
2019-12-04 16:36:22.378,22.5,26.4,340
2019-12-04 16:36:22.379,22.5,26.4,340
2019-12-04 16:36:22.379,22.5,26.4,340
2019-12-04 16:36:22.379,22.4,26.2,340
2019-12-04 16:36:22.379,22.5,26.3,343
2019-12-04 16:36:22.379,22.4,26.2,343
2019-12-04 16:36:22.380,22.4,26.3,343
2019-12-04 16:36:22.380,22.4,26.3,340
2019-12-04 16:36:22.412,22.4,26.4,340
2019-12-04 16:36:22.412,22.4,26.5,340
2019-12-04 16:36:22.413,22.4,26.5,340
2019-12-04 16:36:22.413,22.4,26.5,340
2019-12-04 16:36:22.413,22.4,26.5,340
2019-12-04 16:36:22.413,22.4,26.5,340
2019-12-04 16:36:22.414,22.4,26.5,343
2019-12-04 16:36:22.414,22.3,26.5,337
2019-12-04 16:36:22.416,22.3,26.5,343
2019-12-04 16:36:22.416,22.3,26.4,343
2019-12-04 16:36:22.416,22.3,26.4,343
2019-12-04 16:36:22.416,22.3,26.4,343
2019-12-04 16:36:22.417,22.3,26.4,340
2019-12-04 16:36:22.418,22.3,26.4,340
2019-12-04 16:36:22.418,22.3,26.5,340
2019-12-04 16:36:22.418,22.3,26.6,340
2019-12-04 16:36:22.418,22.3,26.7,340
2019-12-04 16:36:22.419,22.3,26.7,340
2019-12-04 16:36:22.419,22.3,26.8,343
2019-12-04 16:36:22.419,22.4,26.8,340
2019-12-04 16:36:22.419,22.3,26.9,340
2019-12-04 16:36:22.420,22.3,26.9,337
2019-12-04 16:36:22.420,22.3,27.0,340
2019-12-04 16:36:22.420,22.3,27.0,340
2019-12-04 16:36:22.420,22.3,27.0,340
2019-12-04 16:36:22.420,22.3,27.0,340
2019-12-04 16:36:22.422,22.3,26.9,340
2019-12-04 16:36:22.422,22.3,26.9,340
2019-12-04 16:36:22.422,22.3,26.9,343
2019-12-04 16:36:22.423,22.3,26.9,340
2019-12-04 16:36:22.423,22.3,26.9,343
2019-12-04 16:36:22.423,22.3,27.0,340
2019-12-04 16:36:22.423,22.3,27.0,343
2019-12-04 16:36:22.424,22.3,27.0,340
2019-12-04 16:36:22.424,22.3,27.1,337
2019-12-04 16:36:22.424,22.3,27.1,340
2019-12-04 16:36:22.424,22.3,27.1,340
2019-12-04 16:36:22.425,22.3,27.1,340
2019-12-04 16:36:22.425,22.3,27.1,337
2019-12-04 16:36:22.425,22.3,27.1,340
2019-12-04 16:36:22.425,22.3,27.1,343
2019-12-04 16:36:22.425,22.3,27.1,340
2019-12-04 16:36:22.426,22.3,27.1,340
2019-12-04 16:36:22.426,22.3,27.1,340
2019-12-04 16:36:22.426,22.3,27.1,340
2019-12-04 16:36:22.426,22.3,27.1,340
2019-12-04 16:36:22.427,22.3,27.1,340
2019-12-04 16:36:22.427,22.3,27.1,312
2019-12-04 16:36:22.428,22.3,27.1,337
2019-12-04 16:36:22.429,22.3,27.1,337
2019-12-04 16:36:22.469,22.3,27.1,334
2019-12-04 16:36:22.470,22.3,27.0,334
2019-12-04 16:36:22.470,22.3,26.9,334
2019-12-04 16:36:22.471,22.3,26.8,334
2019-12-04 16:36:22.471,22.3,26.7,337
2019-12-04 16:36:22.471,22.3,26.7,334
2019-12-04 16:36:22.471,22.3,26.7,334
2019-12-04 16:36:22.472,22.3,26.7,334
2019-12-04 16:36:22.472,22.2,26.5,326
2019-12-04 16:36:22.472,22.2,26.5,337
2019-12-04 16:36:22.473,22.2,26.7,334
2019-12-04 16:36:22.473,22.2,26.7,334
2019-12-04 16:36:22.473,22.2,26.7,334
2019-12-04 16:36:22.475,22.3,26.7,334
2019-12-04 16:36:22.475,22.2,26.6,337
2019-12-04 16:36:22.475,22.2,26.5,328
2019-12-04 16:36:22.475,22.2,26.5,331
2019-12-04 16:36:22.476,22.2,26.5,334
2019-12-04 16:36:22.476,22.2,26.5,331
2019-12-04 16:36:22.476,22.2,26.5,331
2019-12-04 16:36:22.476,22.2,26.5,331
2019-12-04 16:36:22.476,22.2,26.4,334
2019-12-04 16:36:22.477,22.2,26.4,337
2019-12-04 16:36:22.477,22.2,26.4,334
2019-12-04 16:36:22.477,22.2,26.4,334
2019-12-04 16:36:22.477,22.2,26.4,334
2019-12-04 16:36:22.478,22.2,26.3,334
2019-12-04 16:36:22.478,22.2,26.2,337
2019-12-04 16:36:22.478,22.2,26.2,334
2019-12-04 16:36:22.478,22.1,26.1,334
2019-12-04 16:36:22.478,22.1,26.1,337
2019-12-04 16:36:22.479,22.1,26.1,334
2019-12-04 16:36:22.479,22.1,26.0,334
2019-12-04 16:36:22.479,22.1,26.1,340
2019-12-04 16:36:22.479,22.1,26.2,317
2019-12-04 16:36:22.480,22.1,26.5,260
2019-12-04 16:36:22.480,22.1,26.6,331
2019-12-04 16:36:22.480,22.1,26.6,340
2019-12-04 16:36:22.480,22.1,26.6,337
2019-12-04 16:36:22.480,22.1,26.6,337
2019-12-04 16:36:22.481,22.1,26.5,340
2019-12-04 16:36:22.481,22.1,26.5,340
2019-12-04 16:36:22.481,22.1,26.5,340
2019-12-04 16:36:22.481,22.1,26.5,340
2019-12-04 16:36:22.482,22.1,26.5,343
2019-12-04 16:36:22.482,22.1,26.5,340
2019-12-04 16:36:22.482,22.1,26.5,340
2019-12-04 16:36:22.482,22.1,26.5,340
2019-12-04 16:36:22.483,22.1,26.6,340
2019-12-04 16:36:22.483,22.1,26.6,337
2019-12-04 16:36:22.509,22.1,26.6,340
2019-12-04 16:36:22.509,22.1,26.6,340
2019-12-04 16:36:22.510,22.1,26.7,340
2019-12-04 16:36:22.510,22.1,26.7,340
